,Medium,Classification,class_color
41624,Collodion print,Photograph,blue
41652,Gelatin silver print with hand-applied mixed media,Photograph,blue
41653,"Gelatin silver print, printed 1950",Photograph,blue
41656,Albumen silver print from a wet-collodion glass negative,Photograph,blue
41658,Albumen silver print from a glass negative,Photograph,blue
41667,"Gelatin silver print, printed 1963",Photograph,blue
41668,Woodburytype,Photograph,blue
41694,Gelatin silver print (chlorobromide) from a direct paper negative,Photograph,blue
41700,Collage of photomechanical reproductions,Photograph,blue
41715,Twelve gelatin silver prints,Photograph,blue
41741,"Albumen silver prints in two volumes, printed 1865",Photograph,blue
41753,Chromogenic color prints,Photograph,blue
41765,"Gelatin silver print, printed 1940",Photograph,blue
41772,"Gelatin silver print, printed later",Photograph,blue
41776,Albumen silver prints (stereograph),Photograph,blue
41784,Color instant print (Polaroid),Photograph,blue
41825,"Gelatin silver print, printed 1948",Photograph,blue
41833,"Dye transfer print, printed 1992",Photograph,blue
41845,Direct carbon print,Photograph,blue
41849,"Gelatin silver print, printed 1977",Photograph,blue
41856,"Salted paper print by Chicago Albumen Works from a wet-collodion glass negative, printed 1990",Photograph,blue
41862,"Gelatin silver print, printed 1930s",Photograph,blue
41874,"Developing-out-paper print (gold-toned), printed 1981 by Chicago Albumen Works",Photograph,blue
41878,Photogravures,Photograph,blue
41891,"Gelatin silver print, printed c. 1965",Photograph,blue
41898,"Albumen silver print (gold-toned), printed 1981 by Chicago Albumen Works",Photograph,blue
41899,Sixteen albumen silver prints and one photographic reproduction of a painting or one painted photograph,Photograph,blue
41901,Albumen silver prints from wet-collodion glass negatives,Photograph,blue
41903,Salted paper print from a wet-collodion glass negative,Photograph,blue
41921,Albumen silver prints,Photograph,blue
41961,"Albumen silver print (gold-toned), printed 1982 by Chicago Albumen Works",Photograph,blue
41989,Gelatin silver print (with hand-applied graphite),Photograph,blue
41992,"Dye transfer print, printed 1988",Photograph,blue
42014,"Chromogenic color print, printed 1987",Photograph,blue
42039,Salted paper print from a waxed-paper negative,Photograph,blue
42070,Salted paper print from a glass negative,Photograph,blue
42082,"Gelatin silver print (hand-colored negative print), printed 1935",Photograph,blue
42088,Offset print,Photograph,blue
42115,Platinum/palladium print,Photograph,blue
42138,"Gelatin silver print, printed c. 1970 by James Dow",Photograph,blue
42143,Special edition book containing thirty gelatin silver prints,Photograph,blue
42182,"Gelatin silver print, printed 1941",Photograph,blue
42193,"Gelatin silver print, printed c. 1969 by James Dow",Photograph,blue
42198,"Gelatin silver print, printed 1978",Photograph,blue
42199,Eleven gelatin silver prints,Photograph,blue
42200,"Gelatin silver print, printed 1974",Photograph,blue
42210,"Platinum print, printed c. 1979",Photograph,blue
42226,"Gelatin silver print, printed 1933-46",Photograph,blue
42230,Portfolio of photographs,Photograph,blue
42237,"Salted paper print, printed 1979",Photograph,blue
42238,Gelatin silver print (selenium-toned),Photograph,blue
42393,Waxed-paper negative,Photograph,blue
42396,Gelatin silver print (selenium toned),Photograph,blue
42414,Collotypes,Photograph,blue
42424,Four gelatin silver prints,Photograph,blue
42442,Gum platinum print from a waxed-paper negative,Photograph,blue
42444,Silver emulsion on hand made paper,Photograph,blue
42452,Black and white instant print (Polapan),Photograph,blue
42479,Black and white instant prints,Photograph,blue
42502,"Gelatin silver print, printed 1986",Photograph,blue
42506,Twelve black and white instant prints (Polapan),Photograph,blue
42534,"Gelatin silver print, printed 1968",Photograph,blue
42535,"Eighteen black-and-white instant prints (Polapan), with hand-applied ink",Photograph,blue
42550,"Gelatin silver print, printed c. 1970",Photograph,blue
42563,"Gelatin silver print, printed 1979",Photograph,blue
42564,"Black and white instant print (Polapan), scratched",Photograph,blue
42565,"Gelatin silver print, printed 1993",Photograph,blue
42570,"Gelatin silver print, printed 1939",Photograph,blue
42571,"Calotype, printed 1937",Photograph,blue
42591,Ten gelatin silver prints,Photograph,blue
42602,"Color instant print (Polacolor, with hand-applied ink)",Photograph,blue
42613,Oil pigment print,Photograph,blue
42617,Bromoil print,Photograph,blue
42630,Five color and four black and white instant prints (Polacolor and Polapan),Photograph,blue
42645,Photoglyphic engraving,Photograph,blue
42657,Nine color instant prints (Polacolor),Photograph,blue
42669,Gelatin silver print (toned),Photograph,blue
42684,"Two color instant prints (Polacolor, spliced)",Photograph,blue
42695,(etching),Photograph,blue
42707,Twelve gelatin silver prints mounted to board,Photograph,blue
42709,Cyanotype,Photograph,blue
42732,Three gelatin silver prints mounted to board,Photograph,blue
42734,"Color instant print (Polaroid SX-70, manipulated)",Photograph,blue
42836,Color instant print (Polaroid SX-70),Photograph,blue
42858,Albumen silver print from a glass (?) negative,Photograph,blue
42859,Color instant print,Photograph,blue
42873,Album of photographic silkscreen prints,Photograph,blue
42900,Calotype,Photograph,blue
42916,Gelatin silver print (hand-colored),Photograph,blue
42918,Glycerin print (?),Photograph,blue
42926,Dye transfer prints,Photograph,blue
42931,"Chromogenic color print, printed 1994",Photograph,blue
42932,Chromogenic color prints with sand-blasted text on glass,Photograph,blue
42949,Gelatin silver print (resin-coated),Photograph,blue
42964,Gravure,Photograph,blue
42965,Photographs,Photograph,blue
42974,Letterpress halftone,Photograph,blue
42982,Letterpress halftone (three-color),Photograph,blue
43001,Color instant print (Polacolor II),Photograph,blue
43007,"Gelatin silver print, printed 1933",Photograph,blue
43010,Hand-applied emulsion photograph,Photograph,blue
43014,"Palladium print, printed 1974",Photograph,blue
43023,"Color instant print (Polacolor II, scratched)",Photograph,blue
43050,Album of 140 calotypes,Photograph,blue
43057,Multiple gum print with platinum (?),Photograph,blue
43095,Silkscreen,Photograph,blue
43128,Color instant print with hand-applied ink,Photograph,blue
43150,"Dye transfer print, printed c. 1990",Photograph,blue
43161,Framed gelatin silver print attached to child's dress on plastic clothes hanger,Photograph,blue
43199,"Gelatin silver print, printed 1981",Photograph,blue
43224,Woodburytype (?),Photograph,blue
43266,Gelatin silver print with black ink border,Photograph,blue
43287,"Gelatin silver print, printed c. 1982",Photograph,blue
43301,Microfilm reader-printer machine print,Photograph,blue
43309,"Gelatin silver print, printed c. 1983",Photograph,blue
43314,Color instant print (Polacolor ER),Photograph,blue
43350,Ambrotype,Photograph,blue
43360,"Gelatin silver print, printed c. 1981",Photograph,blue
43406,Gelatin silver print with applied color,Photograph,blue
43413,Collage of color instant prints,Photograph,blue
43419,Gelatin silver print (solarized),Photograph,blue
43420,Six gelatin silver prints,Photograph,blue
43427,Platinum print (double-coated),Photograph,blue
43431,Photogravure from plates by Jon Goodman and Richard Benson,Photograph,blue
43449,Collage of color instant prints (Polacolor ER),Photograph,blue
43476,"Two gelatin silver prints, printed 1992",Photograph,blue
43494,"Color instant prints (Polaroid, with hand-applied paint and collage)",Photograph,blue
43536,"Gelatin silver print, printed c. 1979",Photograph,blue
43548,Platinum and pigment print,Photograph,blue
43584,Silver dye bleach print (Cibachrome) and Plexiglas wall label with gilded lettering,Photograph,blue
43619,Gelain silver print,Photograph,blue
43631,"Gelatin silver print, ink",Photograph,blue
43659,"Dye transfer print, printed 1983",Photograph,blue
43664,Salted paper print (photogram),Photograph,blue
43668,Gelatin silver print from a dry plate negative,Photograph,blue
43673,"Platinum print (hand-coated, waxed)",Photograph,blue
43680,"Gelatin silver print, printed 1944-53",Photograph,blue
43715,Collage of gelatin silver prints on board,Photograph,blue
43727,Gelatin silver print (photogram),Photograph,blue
43760,Gelatin silver print (solarized?),Photograph,blue
43776,Two color instant prints (Polaroid),Photograph,blue
43798,Chromogenic color and gelatin silver prints,Photograph,blue
43824,"Gelatin silver print, printed c. 1953",Photograph,blue
43828,"Gelatin silver print, printed 1971",Photograph,blue
43837,Carbon print (?),Photograph,blue
43851,Gelatin silver print from a paper negative,Photograph,blue
43898,"Gelatin silver print, printed by Berenice Abbott",Photograph,blue
43900,"Gelatin silver print, printed 1957",Photograph,blue
32095,"Oil on cardboard mounted on wood, with coil of rope",Painting,red
33167,Oil on cardboard,Painting,red
33424,Oil and collage on cardboard over wood with painted plaster border,Painting,red
34481,"Oil, charcoal and pinned paper on canvas",Painting,red
35396,"Shingles, needlepoint, page from Concordance, pressed flowers and ferns mounted on cloth-covered wood",Painting,red
36110,Oil and enamel paint on cardboard,Painting,red
73034,Dyed cotton mounted on muslin,Painting,red
73043,Egg tempera and enamel on canvas,Painting,red
73047,"Pigment on cellulose acetate on plywood panel, two sheets",Painting,red
73053,Gesso and oil on canvas,Painting,red
73054,Oil on wood,Painting,red
73057,Color crayon on gesso on board,Painting,red
73058,Casein on board,Painting,red
73059,"Synthetic polymer paint on shaped canvas, in three parts",Painting,red
73060,"Oilstick, gesso, and acrylic on canvas mounted on wood",Painting,red
73062,Oil and tempera on wood,Painting,red
73066,"Synthetic resin with nails, coins, steel wool, tooth, rope, screw eyes, shells, belt, key, and hinges on board",Painting,red
73067,Synthetic polymer paint on shaped canvas over wood framework,Painting,red
73069,Oil on canvas with light bulbs,Painting,red
73070,Enamel on burlap,Painting,red
73074,Synthetic polymer paint on canvas,Painting,red
73079,Oil and pencil on canvas,Painting,red
73081,Oil-based house paint and crayon on canvas,Painting,red
73082,Kaolin on canvas,Painting,red
73083,Tempera and oil on board,Painting,red
73084,Oil on canvas over board,Painting,red
73085,"Oil on canvas, three panels",Painting,red
73091,Oli on canvas,Painting,red
73100,"Plastic mask, printed paper and cloth on painted wood panel",Painting,red
73102,Oil and enamel paint on canvas,Painting,red
73106,Encaustic on newspaper and cloth over canvas surmounted by four tinted-plaster faces in wood box with hinged front,Painting,red
73111,"Plaster and cement on board with bark, shells, corks, and other materials",Painting,red
73113,Encaustic on newspaper and cloth over canvas,Painting,red
73114,Oil and charcoal on canvas,Painting,red
73118,Oil on plywood,Painting,red
73121,Encaustic on canvas,Painting,red
73132,Oil on board on canvas,Painting,red
73136,"Watercolor and ink on plastered fabric mounted on board, with watercolor and ink borders",Painting,red
73137,Latex paint with marble dust on canvas,Painting,red
73138,"Oil on canvas and synthetic polymer paint on sheet metal, three panels",Painting,red
73145,Oil on masonite,Painting,red
73150,Tempera on panel,Painting,red
73152,Tempera on canvas,Painting,red
73164,Oil and tempera on gessoed board,Painting,red
73168,Oil on burlap,Painting,red
73176,Oil and gold leaf on canvas,Painting,red
73183,"Oil, graphite, and charcoal on linen",Painting,red
73189,Oil and gilt paint on canvas,Painting,red
73190,Latex and synthetic polymer paint with metallic powders on canvas,Painting,red
73192,Synthetic polymer paint on linen,Painting,red
73196,"Tar, spackling compound, oil and paper-towel fiber on vinyl-composite tiles mounted on board, in four panels",Painting,red
73198,"Synthetic polymer paint on canvas, with painted wood frame",Painting,red
73199,Casein tempera on hardboard,Painting,red
73232,Oil and wax on canvas,Painting,red
73250,Encaustic on wood,Painting,red
73251,Casein and oil on canvas,Painting,red
73252,"Oil on canvas with cut-and-pasted primed and raw canvas, T-shirt, garment fragments, and partially painted printed fabrics, two panels",Painting,red
73254,"Paper, chipboard, nails, and graphite",Painting,red
73255,Oil and tempera on board,Painting,red
73258,Synthetic polymer paint and thread on unstretched canvas,Painting,red
73260,"Oil, casein and synthetic polymer paint on canvas",Painting,red
73261,"Synthetic polymer paint on canvas and wood, three parts",Painting,red
73267,Polyethylene on wood,Painting,red
73268,"Styrofoam, paper, colored pencil, graphite, latex paint, plywood, enamel, nails, cotton cloth, galvanized metal, and masking tape",Painting,red
73270,"Synthetic polymer paint on shaped canvas with sheet aluminum, in three parts",Painting,red
73272,Dried earth on canvas,Painting,red
73279,Sand and synthetic polymer paint on canvas,Painting,red
73286,"Painted aluminum and ceramic with rubber, fabric, wood, plastic, tar, and synthetic polymer paint on canvas",Painting,red
73290,Acrylic on canvas,Painting,red
73292,Plastic cement with sand on board,Painting,red
73298,Synthetic polymer paint on board and paint on formica,Painting,red
73301,Oil and encaustic on canvas,Painting,red
73309,"Synthetic polymer paint on canvas, in two parts",Painting,red
73312,"Distemper on canvas with carved wood frame, four panels",Painting,red
73315,Oil on canvas mounted on board,Painting,red
73321,"Oil on board, three panels",Painting,red
73325,Oil and sand on canvas,Painting,red
73328,Oil and cord on canvas,Painting,red
73329,Lacquer on  board,Painting,red
73330,"Children's drawings, newsprint, papier mâché, synthetic polymer, oil and pastel on canvas",Painting,red
73337,"Oil on canvas, six parts",Painting,red
73347,Mosaic and modeled fresco,Painting,red
73349,"Synthetic polymer paint, gesso, charcoal, enamel, oil, and collage on plywood",Painting,red
73350,"Oil and pencil on pillow, quilt, and sheet on wood supports",Painting,red
73356,"Oil, gouache, and plaster on canvas",Painting,red
73361,Oil over bronze paint on plywood,Painting,red
73363,"Tempera, pastel and sand on canvas",Painting,red
73364,"Oil on canvas, two panels",Painting,red
73365,Oil on plaster on burlap,Painting,red
73368,"Enamel on board, mounted on plywood",Painting,red
73374,Synthetic polymer paint and silkscreen ink on eight canvases,Painting,red
73379,Oil on canvas mounted on wood,Painting,red
73381,Porcelain enamel on steel,Painting,red
73385,Oil on canvas with recessed plaster molds,Painting,red
73387,Synthetic polymer paint on board,Painting,red
73388,Synthetic polymer paint on umprimed canvas,Painting,red
73391,"Oil on canvas, mounted on wood, two panels",Painting,red
73392,Oil on canvas with wood frame,Painting,red
73394,Oil on unstretched and adhered canvas pieces,Painting,red
73399,Mixed media on canvas,Painting,red
73402,Enamel on board,Painting,red
73403,"Wood box with magnifying glass, bone, moss, bark, and a scale on varnished cloth mounted on wood",Painting,red
73407,Enamel on canvas over board,Painting,red
73408,Oil and tempera on zinc,Painting,red
73414,Oil on corrugated aluminum,Painting,red
73415,"Enamel and gold leaf, copper panels, and burlap collage on burlap mounted on board",Painting,red
73417,"Encaustic on canvas, three panels",Painting,red
73420,Acrylic and sand on board,Painting,red
73421,Tempera on wood,Painting,red
73422,Acrylic on board,Painting,red
73423,"Encaustic, oil, and collage on fabric mounted on plywood, three panels",Painting,red
73427,Oil on glass,Painting,red
73432,Cloth and tempera on canvas,Painting,red
73434,Synthetic polymer paint with bronze powder and cloth appliqué on canvas,Painting,red
73437,Oil and graphite on canvas,Painting,red
73438,Synthetic polymer paint on patterned fabric mounted on felt with a wood dowel rod,Painting,red
73444,"Oil and plastic cap on canvas and wood, two parts",Painting,red
73446,Oil and collage on board,Painting,red
73450,"Oil, oil with pumice, ink, charcoal, and pencil on canvas",Painting,red
73451,Gouache and ink on color photograph mounted to aluminum,Painting,red
73453,Oil and casein on canvas,Painting,red
73454,Mixed mediums on canvas,Painting,red
73459,Oil over synthetic polymer paint on canvas,Painting,red
73460,Oil and bitumen on canvas,Painting,red
73462,Oil emulsion in water on canvas,Painting,red
73465,Plexiglass with painted plastic over board,Painting,red
73472,Oil and lacquer on canvas,Painting,red
73473,Synthetic polymer paint on shaped canvas,Painting,red
73482,Encaustic on plywood,Painting,red
73486,Walnut stain on canvas,Painting,red
73487,Oil and collage on panel,Painting,red
73488,Acrylic on plexiglass in artist’s painted frame,Painting,red
73493,Vegetable dye transfer on paper on metal,Painting,red
73496,"Oil and newspaper on canvas, two panels",Painting,red
73507,Acrylic and vinyl paint on canvas,Painting,red
73508,"Oil paint, tar, sulphur, rope, and metal bucket on tarpaulin",Painting,red
73509,Casein and pencil on canvas,Painting,red
73512,Oil on canvas with pebbles and gravel,Painting,red
73518,"Synthetic polymer paint with pencil on canvas, with painted wood frame",Painting,red
73526,"Projected light on translucent glass screen (duration 42 hours, 14 minutes, 11 seconds)",Painting,red
73527,Dyed and sewn canvas,Painting,red
73528,Synthetic polymer paint and pencil on four canvases,Painting,red
73530,Whiting and lampblack on burlap and string,Painting,red
73531,"Oil on fiberglass with aluminum, bolts and screws",Painting,red
73533,Oil on unstretched linen,Painting,red
73536,"Synthetic polymer paint on door flap of a canvas military tent with buckles, ropes, and dyed straps",Painting,red
73538,"Oil, charcoal, and bronze paint on canvas",Painting,red
73551,Oil on canvas mounted on cardboard,Painting,red
73555,"Synthetic polymer paint, gesso, charcoal, and pencil on canvas",Painting,red
73561,Oil on plywood and board,Painting,red
73563,"Oil on canvas, mounted on cardboard",Painting,red
73570,Ink jet and synthetic polymer paint on canvas,Painting,red
73575,Synthetic polymer paint and gouache on paper mounted on shaped canvas,Painting,red
73582,Tempera on canvas mounted on wood,Painting,red
73584,Oil and mixed mediums on canvas,Painting,red
73589,"Silk with appliqué of silk satin, shantung, and velvet, lined",Painting,red
73590,"Oil, synthetic polymer paint, graphite and silkscreen ink, and color laser prints",Painting,red
73594,Synthetic polymer paint and charcoal on board with mirrors,Painting,red
73598,Oil and magna on canvas,Painting,red
73600,"Projected light on translucent glass screen (duration of form cycle: 7 minutes; duration of color cycle: 7 minutes, 17 seconds; the two cycles coincide every 50 hours, 59 minutes)",Painting,red
73603,"Oil on canvas, fifteen panels",Painting,red
73606,"Gesso, oil, varnish, crayon, colored papers, sandpaper, graph paper, cardboard, metallic paint, and metal foil on plywood",Painting,red
73608,Oil and tempera on canvas,Painting,red
73611,Oil on aluminum paper over canvas,Painting,red
73619,Billboard,Painting,red
73624,"Oil on canvas with nails, tacks, buttons, key, coins, cigarettes, matches, etc.",Painting,red
73630,Synthetic polymer paint on metal with lacquer-finish wood frame,Painting,red
73634,Oil and enamel on canvas,Painting,red
73636,"Oil and wax on canvas, two panels",Painting,red
73639,"Oil on canvas, four panels",Painting,red
73640,Oil on linen,Painting,red
73647,Oil and enamel on board,Painting,red
73651,"Watercolor, gouache, and synthetic polymer paint on paper mounted on canvas",Painting,red
73658,"Synthetic polymer paint on canvas in two parts, with synthetic polymer paint on wood and synthetic polymer paint on polyethylene in three parts",Painting,red
73659,Synthetic polymer paint on patterned fabric,Painting,red
73661,"Oil on fabric, wood stand and frame",Painting,red
73665,Synthetic polymer paint on printed fabric,Painting,red
73670,Synthetic polymer paint on cotton canvas mounted on fiberglass with wood,Painting,red
73673,"Oil stick and pastel on paper mounted on aluminum panels, in two parts",Painting,red
73674,Synthetic polymer paint with canvas collage mounted on canvas,Painting,red
73675,"Oil and nails on board, three parts",Painting,red
73676,"Synthetic polymer paint and black pencil on canvas, five panels",Painting,red
73677,"Oil, ink, pencil, crayon, paper, fabric, newspaper, printed reproductions, and painted paper on canvas",Painting,red
73678,Synthetic polymer paint and modeling paste on canvas mounted on wood,Painting,red
73680,Lacquer on wood with applied sections,Painting,red
73684,"Vinyl paint and synthetic polymer paint on paper, mounted on canvas",Painting,red
73685,Strips of layered matboard on painted wood,Painting,red
73687,"Oil, lead, woodcut, photograph, and shellac on canvas",Painting,red
73691,"Aluminum hollow core panel relief, with folded papers and glue, in six parts",Painting,red
73694,Oil on canvas with crayon,Painting,red
73697,Acrylic with cut-and-pasted paper and fabric on wood panel,Painting,red
73698,"Ink (transfer image) on unstretched silk and cotton with additional synthetic fabric, paper, and polyvinyl acetate emulsion glue",Painting,red
73699,Oil over traces of black chalk on tan cardstock mounted on canvas,Painting,red
73701,Oil on tan wove paper mounted on tan board,Painting,red
73702,Oil on wood panel with wood cradle at top and bottom,Painting,red
73705,Oil over traces of graphite on light-brown wove paper mounted on board,Painting,red
73706,Oil on canvas mounted on canvas,Painting,red
73709,"Oil on perforated zinc and board, with glass-headed pins",Painting,red
73710,"Painted photographic canvas on cut-out boards, in two parts",Painting,red
73713,"Gouache on paper, cut and pasted, and charcoal on paper mounted on canvas",Painting,red
